Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
6.954,TraderOne,Tick,24,0,24,-24,148300,148800,713,10287,5487,OK
7.282,TraderOne,Tick,24,0,24,-24,148300,148800,713,10287,5487,OK
7.454,TraderOne,Tick,24,0,24,-24,148300,148800,713,10287,5487,OK
7.735,TraderOne,Tick,24,0,24,-24,148300,148800,713,10287,5487,OK
7.985,TraderOne,Tick,24,0,24,-24,148300,149200,713,10287,5487,OK
8.297,TraderOne,Tick,24,0,24,-24,149100,149200,713,10287,7887,OK
8.5,TraderOne,Tick,24,24,0,0,149100,149200,1429,4771,4771,OK
8.797,TraderOne,Tick,24,24,0,0,149200,149200,1429,4771,4771,OK
9.0,TraderOne,Tick,24,24,0,0,149200,149200,1429,4771,4771,OK
9.25,TraderOne,Tick,24,24,0,0,149200,149600,1429,4771,4771,OK
9.516,TraderOne,Tick,34,24,10,-10,149200,149900,1727,9473,6473,OK
9.75,TraderOne,Tick,34,24,10,-10,149200,149900,1727,9473,6473,OK
9.954,TraderOne,Tick,34,24,10,-10,149200,149900,1727,9473,6473,OK
10.235,TraderOne,Tick,34,24,10,-10,149200,149800,1727,9473,6473,OK
10.469,TraderOne,Tick,34,24,10,-10,149200,149800,1727,9473,6473,OK
10.719,TraderOne,Tick,34,24,10,-10,149400,149900,1727,9473,6473,OK
11.0,TraderOne,Tick,34,24,10,-10,149400,150000,1727,9473,6473,OK
11.25,TraderOne,Tick,34,24,10,-10,149400,149900,1727,9473,6473,OK
11.547,TraderOne,Tick,34,24,10,-10,150800,150100,1727,9473,12473,OK
11.704,TraderOne,Tick,34,24,10,-10,150800,150300,1727,9473,12473,OK
11.985,TraderOne,Tick,34,24,10,-10,150800,150800,1727,9473,9473,OK
12.266,TraderOne,Tick,34,24,10,-10,150800,150900,1727,9473,8473,OK
12.516,TraderOne,Tick,34,24,10,-10,150800,150900,1727,9473,8473,OK
12.782,TraderOne,Tick,34,24,10,-10,150800,151100,1727,9473,6473,OK
13.047,TraderOne,Tick,34,24,10,-10,150800,150900,1727,9473,8473,OK
13.235,TraderOne,Tick,34,24,10,-10,150800,150900,1727,9473,8473,OK
13.469,TraderOne,Tick,34,24,10,-10,150900,150900,1727,9473,9473,OK
13.75,TraderOne,Tick,34,24,10,-10,150900,150900,1727,9473,9473,OK
14.032,TraderOne,Tick,34,24,10,-10,150400,151200,1727,9473,6473,OK
14.235,TraderOne,Tick,34,24,10,-10,150900,151200,1727,9473,6473,OK
14.547,TraderOne,Tick,34,24,10,-10,150900,151100,1727,9473,7473,OK
14.75,TraderOne,Tick,34,24,10,-10,151800,151200,1727,9473,12473,OK
14.985,TraderOne,Tick,34,24,10,-10,151800,150900,1727,9473,12473,OK
15.235,TraderOne,Tick,34,24,10,-10,151800,151100,1727,9473,12473,OK
15.485,TraderOne,Tick,34,24,10,-10,151800,151500,1727,9473,12473,OK
15.766,TraderOne,Tick,44,24,20,-20,152000,151500,2028,16172,22172,OK
15.954,TraderOne,Tick,44,24,20,-20,152000,151500,2028,16172,22172,OK
16.266,TraderOne,Tick,44,24,20,-20,152000,151200,2028,16172,22172,OK
16.485,TraderOne,Tick,44,24,20,-20,152000,151200,2028,16172,22172,OK
16.735,TraderOne,Tick,44,24,20,-20,152000,151600,2028,16172,22172,OK
16.954,TraderOne,Tick,44,24,20,-20,152000,151600,2028,16172,22172,OK
17.297,TraderOne,Tick,44,24,20,-20,152300,152100,2028,16172,20172,OK
17.5,TraderOne,Tick,44,24,20,-20,152300,152200,2028,16172,18172,OK
17.75,TraderOne,Tick,44,24,20,-20,152300,152200,2028,16172,18172,OK
18.047,TraderOne,Tick,44,24,20,-20,152300,152000,2028,16172,22172,OK
18.266,TraderOne,Tick,44,24,20,-20,152300,151900,2028,16172,22172,OK
18.469,TraderOne,Tick,44,24,20,-20,152300,151900,2028,16172,22172,OK
18.766,TraderOne,Tick,44,24,20,-20,152300,151900,2028,16172,22172,OK
19.0,TraderOne,Tick,44,24,20,-20,152300,151900,2028,16172,22172,OK
19.219,TraderOne,Tick,44,24,20,-20,152300,151900,2028,16172,22172,OK
19.469,TraderOne,Tick,44,24,20,-20,152300,151500,2028,16172,22172,OK
19.797,TraderOne,Tick,44,24,20,-20,151000,151900,2028,16172,10172,OK
20.016,TraderOne,Tick,44,24,20,-20,151000,151900,2028,16172,10172,OK
20.297,TraderOne,Tick,44,24,20,-20,151000,151900,2028,16172,10172,OK
20.469,TraderOne,Tick,44,24,20,-20,151000,151900,2028,16172,10172,OK
20.704,TraderOne,Tick,44,24,20,-20,151000,151900,2028,16172,10172,OK
21.0,TraderOne,Tick,44,24,20,-20,151000,152000,2028,16172,10172,OK
21.266,TraderOne,Tick,44,24,20,-20,151000,152000,2028,16172,10172,OK
21.5,TraderOne,Tick,44,24,20,-20,151000,152000,2028,16172,10172,OK
21.719,TraderOne,Tick,44,24,20,-20,151000,152000,2028,16172,10172,OK
21.985,TraderOne,Tick,44,24,20,-20,151000,152000,2028,16172,10172,OK
22.235,TraderOne,Tick,44,24,20,-20,152300,152000,2028,16172,22172,OK
22.516,TraderOne,Tick,44,24,20,-20,152600,152000,2028,16172,22172,OK
22.782,TraderOne,Tick,44,24,20,-20,152600,152000,2028,16172,22172,OK
23.047,TraderOne,Tick,44,24,20,-20,152600,151800,2028,16172,22172,OK
23.282,TraderOne,Tick,44,24,20,-20,152600,151600,2028,16172,22172,OK
23.547,TraderOne,Tick,44,24,20,-20,152600,151600,2028,16172,22172,OK
23.735,TraderOne,Tick,44,24,20,-20,152600,151500,2028,16172,22172,OK
24.0,TraderOne,Tick,44,24,20,-20,152600,151500,2028,16172,22172,OK
24.297,TraderOne,Tick,44,24,20,-20,152600,151400,2028,16172,22172,OK
24.454,TraderOne,Tick,44,24,20,-20,150900,151400,2028,16172,10172,OK
24.797,TraderOne,Tick,44,24,20,-20,150900,151400,2028,16172,10172,OK
24.969,TraderOne,Tick,44,24,20,-20,150900,151100,2028,16172,12172,OK
25.282,TraderOne,Tick,44,24,20,-20,150900,151100,2028,16172,12172,OK
25.516,TraderOne,Tick,44,24,20,-20,150900,151100,2028,16172,12172,OK
25.75,TraderOne,Tick,44,24,20,-20,150900,151100,2028,16172,12172,OK
25.954,TraderOne,Tick,44,24,20,-20,150900,151100,2028,16172,12172,OK
26.25,TraderOne,Tick,44,24,20,-20,150900,151100,2028,16172,12172,OK
26.547,TraderOne,Tick,44,24,20,-20,150900,151000,2028,16172,14172,OK
26.766,TraderOne,Tick,44,24,20,-20,150900,151000,2028,16172,14172,OK
26.985,TraderOne,Tick,44,24,20,-20,150900,151000,2028,16172,14172,OK
27.204,TraderOne,Tick,44,24,20,-20,150500,151000,2028,16172,10172,OK
27.563,TraderOne,Tick,44,24,20,-20,150500,151000,2028,16172,10172,OK
27.766,TraderOne,Tick,44,24,20,-20,150500,151500,2028,16172,10172,OK
27.969,TraderOne,Tick,44,24,20,-20,150500,151500,2028,16172,10172,OK
28.219,TraderOne,Tick,44,24,20,-20,150500,151500,2028,16172,10172,OK
28.516,TraderOne,Tick,44,24,20,-20,150500,151500,2028,16172,10172,OK
28.704,TraderOne,Tick,44,24,20,-20,150500,151500,2028,16172,10172,OK
28.954,TraderOne,Tick,44,24,20,-20,150500,151500,2028,16172,10172,OK
29.219,TraderOne,Tick,44,24,20,-20,150500,151500,2028,16172,10172,OK
29.532,TraderOne,Tick,44,24,20,-20,150500,151500,2028,16172,10172,OK
29.735,TraderOne,Tick,44,24,20,-20,150500,151500,2028,16172,10172,OK
30.032,TraderOne,Tick,44,24,20,-20,150500,151100,2028,16172,10172,OK
30.266,TraderOne,Tick,44,24,20,-20,151200,151100,2028,16172,18172,OK
30.469,TraderOne,Tick,44,24,20,-20,151200,151100,2028,16172,18172,OK
30.719,TraderOne,Tick,44,24,20,-20,151200,151000,2028,16172,20172,OK
31.016,TraderOne,Tick,44,24,20,-20,151200,150900,2028,16172,22172,OK
31.25,TraderOne,Tick,44,24,20,-20,151200,150900,2028,16172,22172,OK
31.5,TraderOne,Tick,44,24,20,-20,151200,150900,2028,16172,22172,OK
31.782,TraderOne,Tick,44,24,20,-20,151200,151100,2028,16172,18172,OK
31.969,TraderOne,Tick,44,24,20,-20,151200,151100,2028,16172,18172,OK
32.297,TraderOne,Tick,44,24,20,-20,151200,151100,2028,16172,18172,OK
32.5,TraderOne,Tick,44,34,10,-10,151100,150900,2330,18870,20870,OK
32.735,TraderOne,Tick,44,34,10,-10,151100,150800,2330,18870,21870,OK
33.016,TraderOne,Tick,44,44,0,0,151100,150400,2632,21568,21568,OK
33.266,TraderOne,Tick,44,54,-10,10,151100,150300,2934,28266,25266,OK
33.547,TraderOne,Tick,44,67,-23,23,151100,150300,3327,33073,26173,OK
33.704,TraderOne,Tick,44,67,-23,23,151100,150300,3327,33073,26173,OK
34.016,TraderOne,Tick,44,67,-23,23,151100,150300,3327,33073,26173,OK
34.266,TraderOne,Tick,44,67,-23,23,151100,150200,3327,33073,26173,OK
34.5,TraderOne,Tick,44,67,-23,23,151100,150200,3327,33073,26173,OK
34.75,TraderOne,Tick,44,67,-23,23,151100,150300,3327,33073,26173,OK
35.016,TraderOne,Tick,44,67,-23,23,151100,150300,3327,33073,26173,OK
35.297,TraderOne,Tick,44,67,-23,23,151100,150200,3327,33073,26173,OK
35.454,TraderOne,Tick,44,67,-23,23,151100,150200,3327,33073,26173,OK
35.766,TraderOne,Tick,44,67,-23,23,151100,150200,3327,33073,26173,OK
35.954,TraderOne,Tick,44,67,-23,23,151100,150200,3327,33073,26173,OK
36.313,TraderOne,Tick,44,67,-23,23,151100,150400,3327,33073,26173,OK
36.547,TraderOne,Tick,44,67,-23,23,151100,150400,3327,33073,26173,OK
36.719,TraderOne,Tick,44,67,-23,23,151100,150400,3327,33073,26173,OK
37.032,TraderOne,Tick,44,67,-23,23,151100,150400,3327,33073,26173,OK
37.235,TraderOne,Tick,44,67,-23,23,151100,150400,3327,33073,26173,OK
37.454,TraderOne,Tick,44,67,-23,23,151100,150200,3327,33073,26173,OK
37.719,TraderOne,Tick,44,67,-23,23,151100,150200,3327,33073,26173,OK
38.0,TraderOne,Tick,44,67,-23,23,151100,150200,3327,33073,26173,OK
38.266,TraderOne,Tick,44,67,-23,23,151100,150200,3327,33073,26173,OK
38.454,TraderOne,Tick,44,67,-23,23,151100,150200,3327,33073,26173,OK
38.735,TraderOne,Tick,44,67,-23,23,150400,150300,3327,33073,30773,OK
38.985,TraderOne,Tick,44,67,-23,23,150400,150300,3327,33073,30773,OK
39.235,TraderOne,Tick,44,67,-23,23,150600,150300,3327,33073,26173,OK
39.485,TraderOne,Tick,44,67,-23,23,149800,150300,3327,33073,39973,OK
39.75,TraderOne,Tick,44,67,-23,23,150000,150300,3327,33073,39973,OK
39.985,TraderOne,Tick,44,67,-23,23,150000,150300,3327,33073,39973,OK
40.219,TraderOne,Tick,74,67,7,-7,150400,150300,4231,41169,41869,OK
40.469,TraderOne,Tick,74,67,7,-7,151200,150900,4231,41169,43269,OK
40.719,TraderOne,Tick,74,67,7,-7,151200,150900,4231,41169,43269,OK
41.0,TraderOne,Tick,74,67,7,-7,151200,150900,4231,41169,43269,OK
41.266,TraderOne,Tick,74,67,7,-7,151200,151200,4231,41169,41169,OK
41.547,TraderOne,Tick,74,67,7,-7,151200,151200,4231,41169,41169,OK
41.75,TraderOne,Tick,74,67,7,-7,151200,151200,4231,41169,41169,OK
41.985,TraderOne,Tick,74,67,7,-7,151200,151200,4231,41169,41169,OK
42.297,TraderOne,Tick,74,67,7,-7,151200,151400,4231,41169,39769,OK
42.438,TraderOne,Tick,74,67,7,-7,151200,151500,4231,41169,39069,OK
42.735,TraderOne,Tick,74,67,7,-7,151200,151500,4231,41169,39069,OK
43.016,TraderOne,Tick,74,67,7,-7,151200,151400,4231,41169,39769,OK
43.313,TraderOne,Tick,74,67,7,-7,151200,151400,4231,41169,39769,OK
43.532,TraderOne,Tick,74,67,7,-7,151200,151400,4231,41169,39769,OK
43.813,TraderOne,Tick,74,67,7,-7,151200,151600,4231,41169,39069,OK
44.0,TraderOne,Tick,74,67,7,-7,151200,151600,4231,41169,39069,OK
44.204,TraderOne,Tick,74,67,7,-7,151200,151600,4231,41169,39069,OK
44.454,TraderOne,Tick,74,67,7,-7,151200,151600,4231,41169,39069,OK
44.719,TraderOne,Tick,74,67,7,-7,151200,151600,4231,41169,39069,OK
45.047,TraderOne,Tick,74,67,7,-7,151200,151600,4231,41169,39069,OK
45.282,TraderOne,Tick,74,67,7,-7,151200,151600,4231,41169,39069,OK
45.547,TraderOne,Tick,74,67,7,-7,151200,151300,4231,41169,40469,OK
45.735,TraderOne,Tick,74,67,7,-7,151200,151300,4231,41169,40469,OK
46.047,TraderOne,Tick,74,67,7,-7,151200,151300,4231,41169,40469,OK
46.266,TraderOne,Tick,74,67,7,-7,151200,151200,4231,41169,41169,OK
46.5,TraderOne,Tick,74,67,7,-7,151200,151100,4231,41169,41869,OK
46.704,TraderOne,Tick,74,67,7,-7,151200,151100,4231,41169,41869,OK
47.0,TraderOne,Tick,74,67,7,-7,151200,151100,4231,41169,41869,OK
47.297,TraderOne,Tick,74,77,-3,3,151100,151100,4533,39867,39867,OK
47.485,TraderOne,Tick,74,81,-7,7,151100,151100,4654,39746,39746,OK
47.75,TraderOne,Tick,74,81,-7,7,151100,151100,4654,39746,39746,OK
48.047,TraderOne,Tick,74,81,-7,7,151100,151100,4654,39746,39746,OK
48.266,TraderOne,Tick,74,81,-7,7,151100,151100,4654,39746,39746,OK
48.454,TraderOne,Tick,74,81,-7,7,151100,151100,4654,39746,39746,OK
48.75,TraderOne,Tick,74,81,-7,7,151100,151100,4654,39746,39746,OK
49.0,TraderOne,Tick,74,81,-7,7,151100,151100,4654,39746,39746,OK
49.25,TraderOne,Tick,74,81,-7,7,151200,151100,4654,39746,39046,OK
49.454,TraderOne,Tick,74,81,-7,7,151200,151100,4654,39746,39046,OK
49.75,TraderOne,Tick,74,81,-7,7,150700,151100,4654,39746,41846,OK
50.032,TraderOne,Tick,74,81,-7,7,150700,151000,4654,39746,41846,OK
50.235,TraderOne,Tick,74,81,-7,7,150700,151000,4654,39746,41846,OK
50.469,TraderOne,Tick,74,81,-7,7,151500,151000,4654,39746,37646,OK
50.719,TraderOne,Tick,74,81,-7,7,151500,151000,4654,39746,37646,OK
51.016,TraderOne,Tick,74,81,-7,7,151500,151000,4654,39746,37646,OK
51.266,TraderOne,Tick,74,81,-7,7,150700,151000,4654,39746,41846,OK
51.516,TraderOne,Tick,74,81,-7,7,150700,150800,4654,39746,40446,OK
51.766,TraderOne,Tick,74,81,-7,7,150700,150800,4654,39746,40446,OK
51.954,TraderOne,Tick,74,81,-7,7,150700,150800,4654,39746,40446,OK
52.25,TraderOne,Tick,74,81,-7,7,150700,150800,4654,39746,40446,OK
52.5,TraderOne,Tick,74,81,-7,7,150700,150800,4654,39746,40446,OK
52.75,TraderOne,Tick,74,81,-7,7,150700,150800,4654,39746,40446,OK
53.0,TraderOne,Tick,74,81,-7,7,151400,150800,4654,39746,37646,OK
53.235,TraderOne,Tick,74,81,-7,7,151400,150800,4654,39746,37646,OK
53.563,TraderOne,Tick,74,81,-7,7,151400,151000,4654,39746,37646,OK
53.688,TraderOne,Tick,74,81,-7,7,151400,151000,4654,39746,37646,OK
53.954,TraderOne,Tick,74,81,-7,7,151400,151000,4654,39746,37646,OK
54.266,TraderOne,Tick,74,81,-7,7,151400,151000,4654,39746,37646,OK
54.5,TraderOne,Tick,74,81,-7,7,151400,151000,4654,39746,37646,OK
54.75,TraderOne,Tick,74,81,-7,7,151400,151000,4654,39746,37646,OK
55.032,TraderOne,Tick,74,81,-7,7,151400,151000,4654,39746,37646,OK
55.219,TraderOne,Tick,74,81,-7,7,151400,151000,4654,39746,37646,OK
55.547,TraderOne,Tick,74,81,-7,7,151400,151000,4654,39746,37646,OK
55.797,TraderOne,Tick,74,81,-7,7,150700,151000,4654,39746,41846,OK
55.985,TraderOne,Tick,74,81,-7,7,150700,151000,4654,39746,41846,OK
56.25,TraderOne,Tick,74,81,-7,7,150700,151300,4654,39746,41846,OK
56.547,TraderOne,Tick,74,81,-7,7,150700,151300,4654,39746,41846,OK
56.766,TraderOne,Tick,74,81,-7,7,150700,151400,4654,39746,41846,OK
57.032,TraderOne,Tick,74,81,-7,7,150700,152000,4654,39746,41846,OK
57.204,TraderOne,Tick,84,81,3,-3,151500,152000,4957,44443,43543,OK
57.547,TraderOne,Tick,85,81,4,-4,151400,152000,4987,44813,43613,OK
57.797,TraderOne,Tick,98,81,17,-17,151600,152000,5381,49619,44519,OK
57.969,TraderOne,Tick,98,81,17,-17,151600,152000,5381,49619,44519,OK
58.266,TraderOne,Tick,98,81,17,-17,151600,151800,5381,49619,46219,OK
58.469,TraderOne,Tick,98,81,17,-17,151600,151800,5381,49619,46219,OK
58.704,TraderOne,Tick,98,81,17,-17,151600,151800,5381,49619,46219,OK
59.016,TraderOne,Tick,98,81,17,-17,151600,151800,5381,49619,46219,OK
59.204,TraderOne,Tick,98,81,17,-17,151600,151800,5381,49619,46219,OK
59.5,TraderOne,Tick,98,81,17,-17,151600,151800,5381,49619,46219,OK
59.704,TraderOne,Tick,98,81,17,-17,151600,151800,5381,49619,46219,OK
59.985,TraderOne,Tick,98,81,17,-17,151600,151300,5381,49619,54719,OK
60.235,TraderOne,Tick,98,98,0,0,151600,151300,5896,54204,54204,OK
60.454,TraderOne,Tick,98,98,0,0,151600,151300,5896,54204,54204,OK
60.75,TraderOne,Tick,98,98,0,0,151600,151300,5896,54204,54204,OK
60.969,TraderOne,Tick,98,98,0,0,151600,151400,5896,54204,54204,OK
61.235,TraderOne,Tick,98,98,0,0,151600,151400,5896,54204,54204,OK
61.563,TraderOne,Tick,98,98,0,0,151600,151500,5896,54204,54204,OK
61.704,TraderOne,Tick,98,98,0,0,151600,151100,5896,54204,54204,OK
62.0,TraderOne,Tick,98,98,0,0,151400,151100,5896,54204,54204,OK
62.204,TraderOne,Tick,98,98,0,0,151400,150900,5896,54204,54204,OK
62.532,TraderOne,Tick,98,98,0,0,151400,150900,5896,54204,54204,OK
62.766,TraderOne,Tick,98,98,0,0,151400,151100,5896,54204,54204,OK
63.032,TraderOne,Tick,98,98,0,0,151400,151000,5896,54204,54204,OK
63.282,TraderOne,Tick,98,98,0,0,151400,151100,5896,54204,54204,OK
63.547,TraderOne,Tick,98,98,0,0,151400,150900,5896,54204,54204,OK
63.735,TraderOne,Tick,98,98,0,0,151400,150900,5896,54204,54204,OK
64.0,TraderOne,Tick,98,98,0,0,151400,150900,5896,54204,54204,OK
64.266,TraderOne,Tick,98,98,0,0,151400,150800,5896,54204,54204,OK
64.547,TraderOne,Tick,98,98,0,0,151400,150800,5896,54204,54204,OK
64.75,TraderOne,Tick,98,98,0,0,151400,150800,5896,54204,54204,OK
64.985,TraderOne,Tick,98,98,0,0,151400,150700,5896,54204,54204,OK
65.266,TraderOne,Tick,98,98,0,0,151400,150800,5896,54204,54204,OK
65.454,TraderOne,Tick,98,98,0,0,151400,150800,5896,54204,54204,OK
65.704,TraderOne,Tick,98,98,0,0,151400,150800,5896,54204,54204,OK
66.047,TraderOne,Tick,98,98,0,0,151400,150800,5896,54204,54204,OK
66.204,TraderOne,Tick,98,98,0,0,151400,150800,5896,54204,54204,OK
66.547,TraderOne,Tick,98,98,0,0,151400,150800,5896,54204,54204,OK
66.797,TraderOne,Tick,98,98,0,0,151300,150800,5896,54204,54204,OK
66.969,TraderOne,Tick,98,98,0,0,151300,150800,5896,54204,54204,OK
67.266,TraderOne,Tick,98,98,0,0,151000,150800,5896,54204,54204,OK
67.547,TraderOne,Tick,98,98,0,0,151000,150800,5896,54204,54204,OK
67.797,TraderOne,Tick,98,98,0,0,151000,150800,5896,54204,54204,OK
68.016,TraderOne,Tick,98,98,0,0,151000,150800,5896,54204,54204,OK
68.204,TraderOne,Tick,98,98,0,0,151000,150800,5896,54204,54204,OK
68.532,TraderOne,Tick,98,98,0,0,151000,150800,5896,54204,54204,OK
68.719,TraderOne,Tick,98,98,0,0,151800,151400,5896,54204,54204,OK
68.969,TraderOne,Tick,98,98,0,0,151800,151400,5896,54204,54204,OK
69.219,TraderOne,Tick,98,98,0,0,151800,151400,5896,54204,54204,OK
69.469,TraderOne,Tick,98,98,0,0,151800,151400,5896,54204,54204,OK
69.782,TraderOne,Tick,98,98,0,0,151800,151400,5896,54204,54204,OK
69.985,TraderOne,Tick,108,98,10,-10,151100,151400,6198,54902,51902,OK
70.297,TraderOne,Tick,118,98,20,-20,151100,151400,6500,56600,50600,OK
70.485,TraderOne,Tick,118,98,20,-20,151100,151400,6500,56600,50600,OK
70.719,TraderOne,Tick,118,98,20,-20,150600,151400,6500,56600,50600,OK
71.016,TraderOne,Tick,118,98,20,-20,150600,151400,6500,56600,50600,OK
71.219,TraderOne,Tick,118,98,20,-20,150600,151100,6500,56600,50600,OK
71.532,TraderOne,Tick,118,98,20,-20,150600,151100,6500,56600,50600,OK
71.719,TraderOne,Tick,118,98,20,-20,150600,151100,6500,56600,50600,OK
71.985,TraderOne,Tick,118,98,20,-20,150600,151100,6500,56600,50600,OK
72.25,TraderOne,Tick,118,98,20,-20,150600,150900,6500,56600,50600,OK
72.5,TraderOne,Tick,118,98,20,-20,150600,150900,6500,56600,50600,OK
72.704,TraderOne,Tick,118,98,20,-20,150600,150900,6500,56600,50600,OK
73.079,TraderOne,Tick,118,98,20,-20,150600,150900,6500,56600,50600,OK
73.25,TraderOne,Tick,118,98,20,-20,150600,150900,6500,56600,50600,OK
73.547,TraderOne,Tick,118,98,20,-20,150600,150700,6500,56600,54600,OK
73.782,TraderOne,Tick,118,98,20,-20,150600,150700,6500,56600,54600,OK
74.047,TraderOne,Tick,118,98,20,-20,150400,150700,6500,56600,50600,OK
74.297,TraderOne,Tick,118,98,20,-20,150400,150700,6500,56600,50600,OK
74.547,TraderOne,Tick,118,98,20,-20,150400,150700,6500,56600,50600,OK
74.766,TraderOne,Tick,118,98,20,-20,150400,151000,6500,56600,50600,OK
75.047,TraderOne,Tick,118,98,20,-20,150400,151000,6500,56600,50600,OK
75.235,TraderOne,Tick,118,98,20,-20,150400,151000,6500,56600,50600,OK
75.485,TraderOne,Tick,118,98,20,-20,150400,151000,6500,56600,50600,OK
75.704,TraderOne,Tick,118,98,20,-20,150400,151000,6500,56600,50600,OK
76.016,TraderOne,Tick,118,98,20,-20,150400,151000,6500,56600,50600,OK
76.25,TraderOne,Tick,118,98,20,-20,150700,151000,6500,56600,50600,OK
76.5,TraderOne,Tick,118,98,20,-20,150700,151000,6500,56600,50600,OK
76.719,TraderOne,Tick,118,98,20,-20,150700,151000,6500,56600,50600,OK
77.016,TraderOne,Tick,118,98,20,-20,150700,151000,6500,56600,50600,OK
77.266,TraderOne,Tick,118,98,20,-20,150700,151000,6500,56600,50600,OK
77.547,TraderOne,Tick,118,98,20,-20,150700,151000,6500,56600,50600,OK
77.782,TraderOne,Tick,118,98,20,-20,150700,151000,6500,56600,50600,OK
78.0,TraderOne,Tick,118,98,20,-20,150700,151000,6500,56600,50600,OK
78.297,TraderOne,Tick,118,98,20,-20,150700,150800,6500,56600,54600,OK
78.532,TraderOne,Tick,118,118,0,0,150500,150800,7102,47998,47998,OK
78.766,TraderOne,Tick,118,118,0,0,150500,150800,7102,47998,47998,OK
78.954,TraderOne,Tick,118,118,0,0,150500,150800,7102,47998,47998,OK
79.25,TraderOne,Tick,118,118,0,0,150500,151000,7102,47998,47998,OK
79.5,TraderOne,Tick,118,118,0,0,150800,151500,7102,47998,47998,OK
79.75,TraderOne,Tick,118,118,0,0,150800,151400,7102,47998,47998,OK
80.016,TraderOne,Tick,118,118,0,0,150800,151400,7102,47998,47998,OK
80.282,TraderOne,Tick,118,118,0,0,150800,151400,7102,47998,47998,OK
80.5,TraderOne,Tick,118,118,0,0,150800,151400,7102,47998,47998,OK
80.704,TraderOne,Tick,118,118,0,0,150800,151400,7102,47998,47998,OK
80.969,TraderOne,Tick,118,118,0,0,150800,151400,7102,47998,47998,OK
81.266,TraderOne,Tick,118,118,0,0,150800,151400,7102,47998,47998,OK
81.532,TraderOne,Tick,118,118,0,0,150800,151400,7102,47998,47998,OK
81.75,TraderOne,Tick,118,118,0,0,150800,151400,7102,47998,47998,OK
82.0,TraderOne,Tick,118,118,0,0,150800,151400,7102,47998,47998,OK
82.204,TraderOne,Tick,118,118,0,0,150800,151100,7102,47998,47998,OK
82.5,TraderOne,Tick,118,118,0,0,150800,151100,7102,47998,47998,OK
82.797,TraderOne,Tick,118,118,0,0,151300,150900,7102,47998,47998,OK
83.047,TraderOne,Tick,118,118,0,0,151400,150500,7102,47998,47998,OK
83.204,TraderOne,Tick,118,128,-10,10,150500,150400,7403,47697,46697,OK
83.469,TraderOne,Tick,118,128,-10,10,151000,150400,7403,47697,44697,OK
83.735,TraderOne,Tick,118,128,-10,10,151000,150400,7403,47697,44697,OK
84.016,TraderOne,Tick,118,128,-10,10,151000,150400,7403,47697,44697,OK
84.25,TraderOne,Tick,118,128,-10,10,151000,150600,7403,47697,44697,OK
84.469,TraderOne,Tick,118,128,-10,10,150800,150600,7403,47697,45697,OK
84.797,TraderOne,Tick,118,128,-10,10,150100,150600,7403,47697,50697,OK
85.047,TraderOne,Tick,118,128,-10,10,150100,150600,7403,47697,50697,OK
